"filename", "language", "Markdown", "GDScript", "YAML", "JSON", "JSON with Comments", "Shell Script", "JavaScript", "HTML", "PHP", "CSS", "Properties", "Rust", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser\C_37.gd", "GDScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser\Hub.gd", "GDScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Parser.gd", "GDScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 71
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\effect SubParser.gd", "GDScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 75
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Validator\Validator.gd", "GDScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Bootstrap.gd", "GDScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator\FormFiller.gd", "GDScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 71
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator\FormLayouter.gd", "GDScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 64
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors\Form.gd", "GDScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors\Form.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 28, 199
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\EffectButton.gd", "GDScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 58
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\Form.gd", "GDScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 35
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\Form.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 34, 302
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotInputs.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 489, 0, 0, 0, 51, 540
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Effect.gd", "GDScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 61
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Space.gd", "GDScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 45
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Trigger.gd", "GDScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 69
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\timeslotsManager.gd", "GDScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 40
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items\Form.gd", "GDScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items\Form.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 31, 202
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\Form.gd", "GDScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\Form.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 134, 919
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\choose kit to mod panel.gd", "GDScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 17
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\ParentForm.gd", "GDScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox\universalMorphbox.gd", "GDScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 48
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox\universalMorphboxScript.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Panel\PanelInputHandler.gd", "GDScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\RTL\inputComponentRTL.gd", "GDScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 86
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider\sliderScene.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 8, 50
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider\sliderSkript.gd", "GDScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\Dictionary.gd", "GDScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 77
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\Dictionary.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\entry.gd", "GDScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\entry.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 15, 61
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\MorphBox\EffectMorphBoxScript.gd", "GDScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 73
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL\EffectRTLScript.gd", "GDScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 54
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL\RTLScene.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 10, 36
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Button\Button.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 16, 88
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox\RowBoxScene.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 28, 117
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox\button.gd", "GDScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Text\RowTextScene.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 12, 90
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content management\Browse\Browse.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 39, 319
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Main.tscn", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 26, 245
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\MainMenu.gd", "GDScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 36
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\CheckUp.gd", "GDScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 78
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\ENUM.gd", "GDScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Syntax.gd", "GDScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 81
"c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Util.gd", "GDScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 66
